"country","date","text"
"United Kingdom","12/11/2021","lol right sorry I have no idea someone posted something about him being an idiot earlier and I might have liked it or commented I don't remember but I was posting links to prove that masks do work to lessen Covid transmissiontoo and he's an obsessive antimasker so"
"United Kingdom","12/11/2021","lots of antivaxers and Covid deniers starting to pop up on dating apps not sure if they are legit fuck knuckles or bots just trying to get an opinion out there but it sure as fuck is annoying"
"Luxembou","12/11/2021","Luxembou is usually so peaceful that our police asked their Belgian colleagues if they could loan their water canon to soak some aggressive people at the antianticovid measures protest today"
"United Kingdom","12/11/2021","main problem for the conservative party is the vision their members have low tax high growth low Covid restriction antieurope is at odds with various realities but the current pm and supporters promised it as probably would a successor"
"United Kingdom","12/11/2021","marx was a local legend antifascist hero sadly Covid has taken him as it did another exangelic upstart tony feedback earlier this yearhe stood alongside antifascists local diverse community whenever nfedl came to his hometown of south shields rip"
"United Kingdom","12/11/2021","my work had an christmas party wasn't there bc I'm off with mental health issues but wouldn't have gone anyway and now of them are off bc the antimask antivax person has Covid"
"United Kingdom","12/11/2021","newcastle anticovid passport rally had made the national news please vote against medical apartheid no vaccine passports anywhere via mailonline"
"United Kingdom","12/11/2021","newcastle anticovid passport rally makes national news no vaccine passports via mailonline"
"United Kingdom","12/11/2021","no because I don't need it I have had Covid I have antibodies I have immunity it's utterly non sensical antiscience to treat vaccination as one size fits all particularly as it's known that those who had Covid get the jab are at risk of more severe adverse reactions"
"France","12/11/2021","nope you're antivax if you get Covid you are at far higher risk than if you get the vaccine and by not getting the vaccine you allow your body to be a host for the virus to mutate more than a vaccinated person does and you are more likely to infect other people"
"United Kingdom","12/11/2021","not antivax I have had all Covid jabs but I find it telling that the jabs reportedly don't stop the omicron variant but said jabs are still our best line of defence also since start of december no known deaths from omicron and its symptoms are same as the common cold"
"United Kingdom","12/11/2021","off on a antichristmas road trip did I passport "
"United Kingdom","12/11/2021","oh wow is full on antiscience and conspiracy theory my ears are painfulthose ideas are dangerous a woman died from Covid this week in france because of fake vaccine passports vaccination has nothing to do with fascism you idiot "
"United Kingdom","12/11/2021","oh yes Covid a new type of coronavirus which now causes myocarditis pericarditis transverse myelitis strokes bells palsy bleeds clots silly me it's definitely not an experimental vax anyone who even suggests this must be a mad antivaxer "
"United Kingdom","12/11/2021","Oh yes my point it that most of the research doesn't point towards it being an effective Covid treatment and certainly not as effective as the proven measure that are the vaccines the drug is a simple antiparasitic"
"United Kingdom","12/11/2021","ok let's call it an entitlement passport in rsa for every new person vaccinated the government put rand into a put and draw winners out each week everyone even antivaxers have a price never mind hearts and minds find the right incentive and people will follow"
"Germany","12/11/2021","only way I can get my brain out of the jam is to imagine it's not a binary eg corbyn government proposes anticovid legislation which then suffers a bunch of iterative defeats and delays until eventually they've made enough concens for freeish vote on con side"
"Germany","12/11/2021","only we the people can stop this they have us so divided by race ethnicity religion sex gender vax vs the anticovid vax that we will never come together as one to fight against this global tyranny and they know that"
"United Kingdom","12/11/2021","paris nightclubs bars cafés restos all at prepandemic levels and all with tous anticovid passport please extricate yourself from the circle of stupid"
"United Kingdom","12/11/2021","people gather in all around Europe to protest anticovid measures no vaccine passports"
"United Kingdom","12/11/2021","people who only have vaccines and booster are antivaxing nazis there are many Covid vaccines on the market and the only excuse for not injecting them all into you is selfishness shame on you"
"United Kingdom","12/11/2021","Piers Morgan I respect your views I can't say I agree with sacking people who feel they don't want to take the jab I only hope you or yours don't join the long list of antivaxers who have since lost someone covid and now regret their decision"
"United Kingdom","12/11/2021","Piers Morgan is it too much to expect that the virus might mutate into a variant that kills off all the antivaxers Covid deniers mask refuseniks conspiracy theorists ivermectin junkies etc it would make life so much easier for the rest of us and free up loads of beds in itu"
"Germany","12/11/2021"," protest of leftwing groups against anticovid demonstrations security company security management security security life securityservices tv service defense"
"Germany","12/11/2021"," protest of leftwing groups against querdenken anticovid demonstrations backhand index pointing down security company security management"
"United Kingdom","12/11/2021"," protest ers chant no to discrimination at anticovid passport rally"
"United Kingdom","12/11/2021"," protest ers chant no to discrimination at anticovid passport rally lock the antivaxers "
"United Kingdom","12/11/2021"," protest ers chant no to discrimination at anticovid passport rally via mailonline syringe face with medical mask angry face pouting face"
"United Kingdom","12/11/2021","really how old are we disinfo agent what a plonker I know it needed parental consent and twats that withdrew it created waves of new measles outbreaks soon to be seen again with antivaxers on Covid"
"United Kingdom","12/11/2021","reminds me of how conscientious objectors in the last war we're hated because folk thought they we're skiving out of helping to protect others in dangerous times antivaxers need to show they are helping to fight Covid in their own way what do you think they should do"
"United Kingdom","12/11/2021","sadly I'm keen to support an endeavour like even though I'm a liberal person I see with horror people I know who are antivax and have got very badly infected a nice fit young guy I know is struggling between life death due covid "
"United Kingdom","12/11/2021","sadly I'm keen to support an endeavour like even though I'm a liberal person I see with horror people I know who are antivax and have got very badly infected a nice fit young guy I know is struggling between life death due covid crying face sad but relieved face "
"United Kingdom","12/11/2021","sadly the word antivaxer is used to describe every single person who has an objection to the Covid vaxmillions are not antivaxers but anticorporate manipulation it's so easy to beat down those who dare to objectlook at how governments have used Covid to destroy human rights"
"United Kingdom","12/11/2021","Sajid Javid conservatives will destroy each other anticovid restriction is more important to some than country s future it could mean dead end if labour we're to get in infighting can make it happen like it happened in the last days of thatcher shame on such lot"
"United Kingdom","12/11/2021","same can be said about Starmers front bench too all this the restrictions don't go far enough experimenal if they we're anticovid measures they would be miles ahead in the polls and could actually topple government"
"United Kingdom","12/11/2021","seems legit antivaxers so desperately want to believe anything that backs up their views so they don't check the facts and make stupid shit up"
"United Kingdom","12/11/2021","seems legit antivaxers so desperately want to believe anything that backs up their views so they don't check the facts and make stupid shit up"
"United Kingdom","12/11/2021","skynews I disagree antivaxers are cowards who could passport Covid onto someone and kill them what has my tweet got to do with lockdowns which I'm against"
"United Kingdom","12/11/2021","so I walk inosta in oxford street with my no vaccine passport placards I hear a customer mumble that I am a Covid spreader I'm sorry but being antivax passport isn't about being vaxed or not it's about our fundamental freedoms standing against division"
"United Kingdom","12/11/2021","so very grim sat on a train desperate to get going home and police are trying to manage an unpleasant combo of millwall football fans being dicks and separately a group of antivax face mask freedom wankers decide no ws the time to debate with the police about Covid policing"
"United Kingdom","12/11/2021","so why the fuck is the UK and the world going into protectionist overdrive it seems to me that if omicron is mild and we develop antibodies after infection it will help rid us of Covid altogether"
"United Kingdom","12/11/2021","some of the content and terminology is questionable in itself i've seen it many times before claims expertise on a subject but the timeline is full of antigovernment antivax Covid american political propaganda"
"United Kingdom","12/11/2021","sorry to hear that there s a lot of it about Covid and antivax nonsense hope you aren't too symptomatic"
"United Kingdom","12/11/2021","state of the antispurs guer press how embarrassing he thinks we we're clever getting a Covid outbreak"
"United Kingdom","12/11/2021","stop this shit about antivaxers loads of people with Covid that are vaxed this is about more than a virus once you see it you can't unsee it"
"United Kingdom","12/11/2021","that natural immunity thing is a lie spread by antivaxers that you have sadly fallen for hers some factual scientific information"
"United Kingdom","12/11/2021","The Covid vaccines are tested and licensed otherwise why such long lag times to production be an antivaxer by all means democracy has a toll of suffering idiots for all of us but please don't misinform as you don't have beer arguments"
"United Kingdom","12/11/2021","the daily mail comments section is completely antirestrictions on Covid now surely this must be representative of the public to some extent omicron cases rise in hours across UK amid experts warnings"
"United Kingdom","12/11/2021","the facts not that you will listen the facts not that you will listen"
"France","12/11/2021","the idea that masks work is one of the most stupid and antiscientific I have come across it's empty virtue signalling at best the moment you te it off to eat or drink you're in danger of contracting Covid"
"Germany","12/11/2021","the media calls everyone aending antiCovid protests though not just the people that oanize in some social media groupsand obviously platforms like telegram are singled out for justification even though the same hate comes from facebook groups etc"
"United Kingdom","12/11/2021","the thing with that I guess is it's an easier mistake to spot like you don't need to watch the game so a dropped passport doesn't show in a box score a missed kick does so it's easier to assign blanks agree about antikickers being o though"
"United Kingdom","12/11/2021","their stance on Brexit and Covid show their authoritarian instincts are still strong and add to that the antisemitism and their adherence rt shows that they are still toxic to ordinary people"
"United Kingdom","12/11/2021","there are quite a few antivaccine people claiming that man United’s victor lindelof was substituted because of a Covid vaccine injury here is boss ralf rangnick laining that lindelof was in pain after an on-pitch collision"
"United Kingdom","12/11/2021","there is no way antimask is born from common sense that's laughable considering the huge correlation between antivaxers and Covid deniers pushing against scientific consensus"
"United Kingdom","12/11/2021","there was a small antiCovid protest outside city s training base today highlighting the number of people collapsing supposedly as a result of the vaccine we re not antivax these things aren't vaccines anyway a firstaider had to attend after a protest or collapsed"
"United Kingdom","12/11/2021","these people who don't want masks don't want any more restrictions and don't want lockdowns don't actually realise they're necessary until they catch Covid like I have I used to be anti lockdown and restrictions pre having Covid it's taught me that these restrictions are needed"
"United Kingdom","12/11/2021","they are composed of borderline hypochondriacs clinically vulnerable and some that perhaps truly believe all Covid infections even mild ones rot the brain neurotropic or lead to long Covid especially in children oh and they are supported by an antigovernement group citizens"
"United Kingdom","12/11/2021","this person is evil now and I don't say it lightly he is a Covid denier and the lchf keto arena should be blacklisting him and others by dening Covid he is helping to kill people reported him so many times should be banned here this is not free speech but antiscience no"
"United Kingdom","12/11/2021","this says it all about our Covid mitigation procedures and the antimask brigade we have the highest number of omicron cases in world the second highest is south africa and we have more cases than them n eeehlps"
"United Kingdom","12/11/2021","to my knowledge only one UK paper is reporting on the governments authoritarian nationality and borders bill the guardian it ll likely passport quietly as most antidemocratic laws do funny how those who do their own research are quiet until it's already chewed up"
"United Kingdom","12/11/2021","today after taking previous tests it was confirmed despite vaccination s a mask wearer and isolator and booster jab she has caught Covid god bless you all folded hands from an antivaxer antimask wearer faith over fear and as fit as fiddlle people don't be a sheep red heart"
"United Kingdom","12/11/2021","today after taking previous tests it was confirmed despite vaccination s a mask wearer and isolator and booster jab she has caught Covid god bless you all from an antivaxer antimask wearer faith over fear and as fit as fiddlle people don't be a sheep"
"United Kingdom","12/11/2021","tonight my friend told me about his antivaxer workmate who contracted Covid at a works do weeks ago his funeral is on th decemberthis is the nearest I have been to a fatalityfor the love of god please get your vaccines"
"United Kingdom","12/11/2021","trouble is she will been seen as a fake doctor or another antivaxer unfortunately a lot of people have now lost the ability to use their brain and think rationally Covid is not the problem of the unvaccinated fact fiom nxiyr"
"United Kingdom","12/11/2021","Unvaccinated are taking ICU beds for months on end at the expense of others. Vaccinated patients with covid normally at worst require a modest amount of oxygen. The NHS should priorities cancer patients over selfish antivaxer s"
"United Kingdom","12/11/2021","walking into town talking to my mum find out my year old nephew has Covid I then walk past a van with anti lockdown antivax stuff all over it including a star of David yellow star if I'd have seen the driver I'd have told them exactly what a piece of garbage they are pouting face pouting face"
"United Kingdom","12/11/2021","walking into town talking to my mum find out my year old nephew has Covid I then walk past a van with anti lockdown antivax stuff all over it including a yellow star if I'd have seen the driver I'd have told them exactly what a piece of garbage they are correct correct "
"United Kingdom","12/11/2021","we have these horrific estimates of Covid deaths to april next year please someone help me feel beer about this by confirming the deaths willmainly be amongst the unvaccinated and unmasked I am guessing these people will all refuse antiviral drugs"
"United Kingdom","12/11/2021","we take it that you are still not satisfied with the over Covid deaths that your incompetent tory government has caused you are irresponsible to say the least with your anticovid restrictions stance I hope your local part members decide to desel expect you"
"United Kingdom","12/11/2021","welcome to the club I am blocked by the moron as well he's anticovid as the lockdown bankrupted him and his career as a pub comedian"
"United Kingdom","12/11/2021","we've been vaccinating people since before we even had cars and airplanes we understand them stop posting the same crap all the other antivaxers come out with and start thinking for yourself for once"
"United Kingdom","12/11/2021","what about millions like me who have recovered from Covid and have antibodies my immune system worked I certainly won't be having any jabs totally goes against the science antibodies medicalcoercion medicaltyranny no money in working immune systems tory criminals"
"United Kingdom","12/11/2021","what it does get right as that the tories freed from the responsibility of being in charge would absolutely go fully into Covid-19 denial anti lockdown mask culture war what it fails to acknowledge is that probably of the british press would agree with them"
"United Kingdom","12/11/2021","why can't people accept that resistance to vaccine passports mandates child Covid vaccination being anti lockdown doesn't make you an antivaxer Covid denier believe g causes Covid that bill gates is trying to kill people or the world is flat"
"United Kingdom","12/11/2021","worked with antivaxers and conspiracy nuts coordinating a campaign that tried to block teens from being able to get vaccinated against Covid so hardly a reliable source"
"United Kingdom","12/11/2021","years old been suffering from Covid since october antivaxer dead left young children and the description of how Covid killed her is genuinely hellish please just get vaccinated everyone just get vaccinated bmyq ozsu"
"United Kingdom","12/11/2021","yes I have done from the start and will do and not one member of my family have caught Covid while antivaxers I know have caught and wished they had jabbed your choice your life well done for you obeying and for speaking out"
"United Kingdom","12/11/2021","yes the sane thing to do is get the vaccine simply use a practical vaccine passport but antivaxers are going mental when they can just simply show a negative Covid test anyway"
"United Kingdom","12/11/2021","you and I are as likely to passport the virus on would one be right to suggest that by being vaccinated there is less chance we will occupy an itu bed that could have saved someone elses lifeand free up nhs to do more important work why are most antivaxers also antimask"
"United Kingdom","12/11/2021","you are times more likely to live if you have the Covid booster than if you don't also those like myself who have been vaccinated with pfizer Astrazeneca moderna and johnson with booster s are over times more likely to live forever antivaxers hate the nhs"
"United Kingdom","12/11/2021","you literally couldn't make it up from usa tragically brainwashed by the death cult became a prolific antivaxer now dead from Covid after posting the usual stuff including ironically this"
"United Kingdom","12/11/2021","anticovid demonstration takes place in Luxembou afp"
"The Netherlands","12/11/2021","anticovid demonstration takes place in Luxembou afp"
"Germany","12/11/2021","anticovid demonstrationt takes place in Luxembou afp"
"Germany","12/11/2021","anticovid demonstrationt takes place in Luxembou afp "
"United Kingdom","12/11/2021","anticovid measures demos in several german cities"
"Germany","12/11/2021","antiCovid protests in Luxembou"
"United Kingdom","12/11/2021","anti lockdown washington state senator is missing after getting Covid via thedailybeast"
"The Netherlands","12/11/2021","Belgian virologist donates compensation from anticovid measures activist ovax"
"France","12/11/2021","demonstration in paris for the second consecutive saturday against the health passport and the government vaccine passports"
"France","12/11/2021","demonstration in zaragoza this evening in spain against the health pass vaccine passport"
"United Kingdom","12/11/2021","people gather all around Europe to protest anticovid measures"
