word,sentiment
afford,positive
affordable,positive
affordably,positive
affreightment,ambiguous
affront,negative
affronted,negative
afloat,positive
afordable,positive
aforedescribed,ambiguous
aforementioned,ambiguous
aforesaid,ambiguous
aforestated,ambiguous
afraid,negative
aftermath,negative
aftermaths,negative
aftertaste,negative
aga,negative
against,negative
aged,negative
agency,positive
agenda,ambiguous
agent,ambiguous
aggravate,negative
aggravated,negative
aggravates,negative
aggravating,negative
aggravation,negative
aggravations,negative
aggregate,positive
aggregation,positive
aggression,negative
aggressions,negative
aggressive,negative
aggressiveness,negative
aggressor,negative
aggrieve,negative
aggrieved,negative
aggrivation,negative
aghast,negative
agile,positive
agilely,positive
agility,positive
agitate,negative
agitated,negative
agitation,negative
agitator,negative
agog,positive
agonies,negative
agonise,negative
agonised,negative
agonises,negative
agonising,negative
agonize,negative
agonized,negative
agonizes,negative
agonizing,negative
agonizingly,negative
agony,negative
agree,positive
agreeable,positive
agreeableness,positive
agreeably,positive
agreed,positive
agreeing,positive
agreement,positive
agrees,positive
agriculture,positive
aground,negative
ahead,positive
aid,positive
aiding,positive
aids,negative
ail,negative
ailing,negative
ailment,negative
aim,positive
aimless,negative
ain't,negative
airport,ambiguous
airs,negative
akin,positive
alabaster,positive
alarm,negative
alarmed,negative
alarming,negative
alarmingly,negative
alarmist,ambiguous
alarmists,ambiguous
alas,negative
alb,positive
alcohol,negative
alcoholism,negative
alert,negative
alerted,negative
alerting,negative
alertness,ambiguous
alerts,ambiguous
alibi,negative
alien,negative
alienate,negative
alienated,negative
alienates,negative
alienating,negative
alienation,negative
alienations,negative
alight,positive
alimentation,positive
alimony,negative
alive,positive
all-around,positive
allay,positive
allegation,ambiguous
allegations,ambiguous
allege,ambiguous
alleged,negative
allegedly,negative
alleges,negative
allegiance,negative
alleging,negative
allegro,positive
allergic,negative
allergies,negative
allergy,negative
alleviate,positive
alleviation,positive
alliance,positive
alliances,positive
allied,positive
allies,positive
allow,positive
allowable,positive
allowance,positive
allowed,positive
allowing,positive
allows,positive
allure,positive
alluring,positive
alluringly,positive
ally,positive
almighty,positive
almost,ambiguous
aloha,positive
alone,negative
alongside,positive
aloof,negative
alpha,negative
alright,positive
alteration,negative
alterations,negative
altercation,negative
alternative,positive
although,negative
altruistic,positive
altruistically,positive
always,ambiguous
amaze,positive
amazed,positive
amazement,positive
amazes,positive
amazing,positive
amazingly,positive
ambassador,positive
ambiguities,negative
ambiguity,negative
ambiguous,ambiguous
ambiguousness,ambiguous
ambition,positive
ambitious,positive
ambitiously,positive
ambivalence,negative
ambivalent,negative
ambulance,negative
ambush,negative
ameliorate,positive
amen,positive
amenable,positive
amend,positive
amendable,ambiguous
amendatory,ambiguous
amended,ambiguous
amending,ambiguous
amendment,ambiguous
amendments,ambiguous
amends,ambiguous
amenity,positive
amiability,positive
amiabily,positive
amiable,positive
amicability,positive
amicable,positive
amicably,positive
amiss,negative
amity,positive
ammonia,negative
amnesia,negative
amnesty,positive
amorphous,negative
amortization,positive
amount,ambiguous
amounts,ambiguous
amour,positive
amphetamines,negative
ample,positive
amplify,positive
amply,positive
amputate,negative
amuse,positive
amused,positive
amusement,positive
amusements,positive
amusing,positive
amusingly,positive
anaconda,ambiguous
anal,ambiguous
analogy,positive
analysis,positive
analyst,positive
anarchism,negative
anarchist,negative
anarchistic,negative
anarchy,negative
anathema,negative
ancestral,positive
anchor,positive
anchorage,ambiguous
ancient,negative
anecdotal,negative
anemic,negative
angel,positive
angelic,positive
anger,negative
angina,negative
angling,negative
angrily,negative
angriness,negative
angry,negative
anguish,negative
anguished,negative
animal,negative
animals,negative
animate,positive
animated,positive
animosity,negative
animus,negative
annihilate,negative
annihilated,negative
annihilation,negative
anniversary,positive
announce,positive
announced,positive
announcement,positive
announces,positive
announcing,positive
annoy,negative
annoyance,negative
annoyances,negative
annoyed,negative
annoying,negative
annoyingly,negative
annoys,negative
annual,positive
annually,positive
annul,negative
annulled,negative
annulling,negative
annulment,negative
annulments,negative
annuls,negative
anoint,positive
anomalies,negative
anomalous,negative
anomalously,negative
anomaly,negative
anonymous,negative
answer,positive
answerable,positive
answered,positive
answers,positive
antagonism,negative
antagonist,negative
antagonistic,negative
antagonize,negative
antecedent,ambiguous
antecedents,ambiguous
anthrax,negative
anti,negative
anti-,negative
anti-american,negative
antibiotics,positive
antibodies,positive
antibody,positive
antichrist,negative
anticipate,ambiguous
anticipated,ambiguous
anticipates,ambiguous
anticipating,ambiguous
anticipation,ambiguous
anticipations,ambiguous
anticipatory,ambiguous
anticompetitive,negative
anticorruption,ambiguous
anticovid,positive
antidote,positive
antifungal,positive
antigen,negative
antigens,negative
anti-israeli,negative
antilockdown,positive
antimask,negative
anti-occupation,negative
antipass,negative
antipathy,negative
antipositive,negative
anti-proliferation,negative
antiquated,negative
antique,positive
antiscience,negative
anti-semites,negative
antiseptic,positive
antisocial,negative
anti-social,negative
antithesis,negative
antithetical,negative
antitrust,negative
anti-us,negative
antivaccination,negative
antivaccine,negative
antivax,negative
antivaxer,negative
antivaxers,negative
antivaxx,negative
antiviral,positive
antivirals,positive
anti-white,negative
ant-vax,negative
anxieties,negative
anxiety,negative
anxious,negative
anxiously,negative
anxiousness,negative
anything,negative
anywise,ambiguous
apache,negative
apartheid,negative
apathetic,negative
apathetically,negative
apathy,negative
apeshit,negative
aphid,negative
aplomb,positive
apocalypse,negative
apocalyptic,negative
apologetic,positive
apologies,negative
apologise,negative
apologised,negative
apologises,negative
apologising,negative
apologist,negative
apologists,negative
apologize,negative
apologized,negative
apologizes,negative
apologizing,negative
apology,negative
apostle,positive
apostolic,positive
apotheosis,positive
appal,negative
appall,negative
appalled,negative
appalling,negative
appallingly,negative
apparent,ambiguous
apparently,ambiguous
apparition,ambiguous
appeal,negative
appealable,positive
appealed,positive
appealing,positive
appeals,ambiguous
appear,ambiguous
appeared,ambiguous
appearing,ambiguous
appears,ambiguous
appease,positive
appeased,positive
appeases,positive
appeasing,positive
appellant,ambiguous
appellants,ambiguous
appellate,ambiguous
appellees,ambiguous
append,positive
appendicitis,negative
appertaining,ambiguous
applaud,positive
applauded,positive
applauding,positive
applauds,positive
applause,positive
applicant,ambiguous
applied,ambiguous
applies,ambiguous
apply,ambiguous
appoint,positive
appointment,positive
appointments,positive
appointor,ambiguous
appreciable,positive
appreciate,positive
appreciated,positive
appreciates,positive
appreciating,positive
appreciation,positive
appreciative,positive
appreciatively,positive
apprehend,negative
apprehension,negative
apprehensions,negative
apprehensive,negative
apprehensively,negative
apprentice,positive
approach,positive
approaching,ambiguous
approbation,positive
appropriate,positive
appropriation,negative
approval,positive
approve,positive
approved,positive
approves,positive
approving,positive
approximate,ambiguous
approximated,ambiguous
approximately,negative
approximates,negative
approximating,negative
approximation,negative
approximations,negative
aptitude,positive
arbiter,positive
arbitrability,negative
arbitral,negative
arbitrarily,negative
arbitrariness,negative
arbitrary,negative
arbitrate,positive
arbitrated,positive
arbitrates,positive
arbitrating,positive
arbitration,ambiguous
arbitrational,ambiguous
arbitrations,ambiguous
arbitrative,ambiguous
arbitrator,positive
arbitrators,positive
arcane,negative
archaeology,positive
archaic,negative
architecture,positive
ardent,positive
ardently,positive
ardor,positive
arduous,negative
arduously,negative
area,ambiguous
areas,ambiguous
arena,negative
aren't,negative
argue,ambiguous
argued,ambiguous
arguing,ambiguous
argument,ambiguous
argumentation,ambiguous
argumentative,ambiguous
arguments,ambiguous
arid,negative
arisen,positive
aristocracy,positive
aristocrat,positive
aristocratic,positive
armament,negative
armaments,negative
armed,negative
armor,positive
armored,positive
armory,positive
army,negative
arn,ambiguous
aroma,positive
arouse,positive
arraignment,negative
arrange,positive
array,positive
arrearage,negative
arrearages,negative
arrears,negative
arrest,negative
arrested,negative
arrests,negative
arrival,ambiguous
arrive,ambiguous
arri've,positive
arrived,positive
arrogance,negative
arrogant,negative
arrogantly,negative
arse,negative
arsed,negative
arsenic,negative
arson,negative
art,positive
articulate,positive
articulation,positive
artificial,negative
artificially,negative
artillery,negative
artisan,positive
artiste,positive
artistic,positive
ascendancy,positive
ascendant,ambiguous
ascendants,ambiguous
ascent,positive
ascribe,positive
ash,negative
ashame,negative
ashamed,negative
ashes,negative
aside,negative
asinine,negative
asininely,negative
asinininity,negative
ask,positive
askance,negative
asked,positive
asking,positive
asks,positive
asleep,negative
asp,negative
asperse,negative
aspersion,negative
aspersions,negative
aspiration,positive
aspirations,positive
aspire,positive
aspiring,positive
ass,negative
assail,negative
assailant,negative
assassin,negative
assassinate,negative
assassination,negative
assassinations,negative
assault,negative
assaulted,negative
assaulting,negative
assaults,negative
assembly,positive
assent,positive
assertable,ambiguous
asserting,ambiguous
assertion,positive
assertions,ambiguous
assess,positive
assessment,ambiguous
assessor,positive
asset,positive
assets,positive
assfucking,negative
asshole,negative
assignation,ambiguous
assignations,ambiguous
assignee,ambiguous
assimilate,positive
assimilating,positive
assimilation,positive
assist,positive
assistance,positive
assistant,positive
associate,positive
associated,positive
association,positive
assuage,positive
assult,negative
assumable,ambiguous
assume,negative
assumed,negative
assumes,negative
assuming,negative
assumption,negative
assumptions,negative
assurance,positive
assurances,positive
assure,positive
assured,positive
assuredly,positive
assures,positive
assuring,positive
asthma,negative
astonish,positive
astonished,positive
astonishing,negative
astonishingly,positive
astonishment,positive
astound,positive
astounded,positive
astounding,positive
astoundingly,positive
astounds,positive
astray,negative
astrazeneca,ambiguous
astringent,negative
astrologer,positive
astronaut,positive
astronomer,positive
astute,positive
astutely,positive
asunder,negative
asylum,ambiguous
asymmetry,negative
asymptomatic,negative
atheism,negative
atherosclerosis,negative
athlete,positive
athletes,positive
athletic,positive
atom,positive
atone,positive
atonement,positive
atrocious,negative
atrocities,negative
atrocity,negative
atrophy,negative
attached,negative
attachment,positive
attack,negative
attacked,negative
attacking,negative
attacks,negative
attain,positive
attainable,positive
attained,positive
attaining,positive
attainment,positive
attainments,positive
attains,positive
attempt,ambiguous
attempting,ambiguous
attempts,ambiguous
attend,negative
attendance,positive
attendant,positive
attended,negative
attending,negative
attention,positive
attentive,positive
attenuated,negative
attenuation,negative
attest,ambiguous
attestation,ambiguous
attestations,ambiguous
attested,ambiguous
attesting,ambiguous
attitude,positive
attitudes,positive
attorn,positive
attorney,positive
attorneys,positive
attornment,positive
attorns,positive
attract,positive
attracted,positive
attracting,positive
attraction,positive
attractions,positive
attractive,positive
attractively,positive
attractiveness,positive
attracts,positive
attributed,ambiguous
attrition,negative
attune,positive
auction,positive
audacious,positive
audaciously,positive
audaciousness,positive
audacity,positive
audible,positive
audibly,positive
audiciously,negative
audience,positive
auditor,positive
augment,positive
augmentation,positive
august,positive
aunt,positive
aura,positive
auspicious,positive
austere,negative
austerity,negative
authentic,positive
authenticate,positive
authentication,positive
authenticity,positive
author,positive
authorisation,positive
authorised,positive
authorises,positive
authoritarian,negative
authoritarianism,negative
authoritative,negative
authorities,negative
authority,negative
authorization,positive
authorize,positive
authorized,positive
authorizes,positive
autism,negative
autistic,negative
autocrat,negative
autocratic,negative
autoimmune,negative
automatic,ambiguous
automatically,ambiguous
autonomous,ambiguous
autonomy,positive
autopsy,negative
availability,positive
available,positive
avalanche,negative
avarice,negative
avaricious,negative
avariciously,negative
avatar,positive
avenge,negative
avenger,negative
aver,positive
average,ambiguous
averse,negative
aversely,negative
aversion,negative
avert,negative
averted,negative
averts,negative
avg,ambiguous
avid,positive
avidly,positive
avoid,negative
avoidable,negative
avoidance,negative
avoided,negative
avoiding,negative
avoids,negative
await,ambiguous
awaited,ambiguous
awaiting,negative
awaits,ambiguous
awake,positive
award,positive
awarded,positive
awards,positive
aware,positive
awareness,positive
away,negative
awe,positive
awed,positive
aweful,negative
awesome,positive
awesomely,positive
awesomeness,positive
awestruck,positive
awful,negative
awfully,negative
awfulness,negative
awkward,negative
awkwardness,negative
awry,negative
awsome,positive
ax,negative
axe,negative
axed,negative
axiom,positive
axiomatic,positive
ay,positive
aye,positive
babble,negative
babbling,negative
babies,positive
baboon,negative
baby,positive
babysitter,positive
baccalaureate,positive
back,positive
backache,negative
backaches,negative
backaching,negative
backbite,negative
backbiting,negative
backbone,positive
backdating,negative
backed,positive
backer,positive
background,positive
backhand,negative
backing,positive
back-logged,negative
backs,negative
backward,negative
backwardness,negative
backwards,negative
backwater,negative
backwood,negative
back-wood,negative
backwoods,negative
back-woods,negative
bacteria,negative
bacterium,negative
bad,negative
badass,negative
badge,positive
badger,negative
badly,negative
badness,negative
badvaccinetakes,negative
baffle,negative
baffled,negative
bafflement,negative
baffling,negative
bail,negative
bailed,negative
bailee,negative
bailees,negative
bailiff,negative
bailiffs,negative
bailment,negative
bailout,negative
bait,negative
balance,positive
balanced,positive
bale,negative
balk,negative
balked,negative
ball,positive
ballad,positive
ballet,positive
ballot,positive
balls,positive
balm,positive
balmy,positive
balsam,positive
bamboozle,negative
bamboozled,negative
bamboozles,negative
ban,negative
banal,negative
banalize,negative
bandit,negative
bane,negative
bang,negative
banging,negative
banish,negative
banished,negative
banishment,negative
bank,negative
banker,negative
bankrupt,negative
bankruptcies,negative
bankruptcy,negative
bankrupted,negative
bankrupting,negative
bankrupts,negative
banks,negative
bankster,negative
banned,negative
banning,negative
banquet,positive
bans,negative
banshee,negative
banshees,negative
baptism,positive
baptismal,positive
baptize,positive
bar,negative
barb,negative
barbarian,negative
barbaric,negative
barbarically,negative
barbarism,negative
barbarity,negative
barbarous,negative
barbarously,negative
bard,positive
barely,negative
barf,negative
bargain,positive
bark,negative
barred,negative
barren,negative
barricade,negative
barrier,negative
barriers,negative
barrow,negative
bartender,positive
barter,positive
base,positive
based,positive
baseless,negative
bash,negative
bashed,negative
bashful,negative
bashing,negative
basic,positive
basically,positive
basics,positive
basis,positive
basketball,positive
bastard,negative
bastards,negative
bastion,ambiguous
bat,negative
batch,positive
batches,positive
bath,positive
battalion,negative
batter,negative
battered,negative
battering,negative
battery,negative
battle,negative
battled,negative
battlefield,negative
battles,negative
batty,negative
bawdy,negative
bayonet,negative
beach,positive
beacon,positive
beam,positive
beaming,positive
beany,negative
bear,negative
bearer,negative
bearing,negative
bearish,negative
beast,negative
beastly,negative
beat,negative
beaten,negative
beatific,negative
beating,negative
beats,negative
beauteous,positive
beauties,positive
beautification,positive
beautiful,positive
beautifullly,positive
beautifully,positive
beautify,positive
beauty,positive
became,ambiguous
beckon,positive
beckoned,positive
beckoning,positive
beckons,positive
become,ambiguous
becomes,ambiguous
becoming,ambiguous
bedlam,negative
bedlamite,negative
bedrock,positive
beer,positive
befall,negative
befit,positive
befitting,positive
beforehand,ambiguous
befoul,negative
befriend,positive
beg,negative
began,positive
beggar,negative
beggarly,negative
begging,negative
begin,positive
beginning,positive
begins,positive
beguile,negative
begun,ambiguous
behalf,positive
behave,positive
behavior,positive
behaviour,positive
behead,negative
behemoth,negative
behind,negative
beholden,negative
belabor,negative
belated,negative
beleaguer,negative
belie,negative
belief,positive
beliefs,positive
believable,positive
believe,positive
believeable,positive
believed,positive
believer,positive
believes,positive
believing,positive
belittle,negative
belittled,negative
belittling,negative
bell,positive
bellicose,negative
belligerence,negative
belligerent,negative
belligerently,negative
bellows,negative
bells,positive
belong,ambiguous
beloved,positive
belt,negative
bemoan,negative
bemoaning,negative
bemused,negative
bender,negative
benefactor,positive
beneficent,positive
beneficial,positive
beneficially,positive
beneficiary,positive
beneficiated,ambiguous
beneficiation,ambiguous
benefit,positive
benefited,positive
benefiting,positive
benefits,positive
benefitted,positive
benefitting,positive
benevolence,positive
benevolent,positive
benifits,positive
benign,positive
bent,negative
bequeath,positive
bequest,positive
berate,negative
bereave,negative
bereaved,negative
bereavement,negative
bereaves,negative
bereaving,negative
bereft,negative
berserk,negative
berth,positive
beseech,negative
beset,negative
besides,negative
besiege,negative
besmirch,negative
best,positive
bestial,negative
best-known,positive
bestow,positive
best-performing,positive
best-selling,positive
bet,negative
beta,negative
betray,negative
betrayal,negative
betrayals,negative
betrayed,negative
betrayer,negative
betraying,negative
betrays,negative
betroth,positive
betrothal,positive
betrothed,positive
bets,negative
better,positive
better-known,positive
betterment,positive
better-than-expected,positive
beutifully,positive
beverage,positive
bewail,negative
beware,negative
bewilder,negative
bewildered,negative
bewildering,negative
bewilderingly,negative
bewilderment,negative
bewitch,negative
beyond,ambiguous
bias,negative
biased,negative
biases,negative
biblical,positive
bicker,negative
bickering,negative
bid-rigging,negative
biennial,positive
bier,positive
bifurcated,negative
bifurcation,negative
big,ambiguous
bigger,ambiguous
biggest,ambiguous
bigot,negative
bigoted,negative
bigotries,negative
bigotry,negative
bigpharma,negative
bile,negative
bilingual,positive
bill,negative
billgates,negative
billion,ambiguous
billionaire,negative
billions,ambiguous
bin,negative
binary,negative
bio,positive
biological,positive
biology,positive
biontech,ambiguous
biontechgroup,ambiguous
biopsy,negative
biotech,ambiguous
bioweapon,negative
birch,negative
bird,positive
birth,positive
birthday,positive
birthplace,positive
bit,ambiguous
bitch,negative
bitches,negative
bitchy,negative
bite,negative
biting,negative
bitingly,negative
bits,negative
bitter,negative
bitterly,negative
bitterness,negative
bizarre,negative
blab,negative
blabber,negative
blackjack,negative
blackmail,negative
blackness,negative
blah,negative
blame,negative
blamed,negative
blameless,positive
blames,negative
blameworthy,negative
blaming,negative
bland,negative
blandish,negative
blanket,positive
blaspheme,negative
blasphemous,negative
blasphemy,negative
blast,negative
blasted,negative
blatant,negative
blatantly,negative
blather,negative
blaze,negative
bleak,negative
bleakly,negative
bleakness,negative
bleed,negative
bleeding,negative
bleeds,negative
blemish,negative
bless,positive
blessed,positive
blesses,positive
blessing,positive
blessings,positive
blight,negative
blighted,negative
blind,negative
blinded,negative
blindfold,negative
blinding,negative
blindingly,negative
blindly,negative
blindness,negative
blindside,negative
bliss,positive
blissful,positive
blissfully,positive
blister,negative
blistering,negative
blithe,positive
blitz,negative
bloated,negative
blob,negative
block,negative
blockade,negative
blockage,negative
blockbuster,positive
blocked,negative
blockhead,negative
blocking,negative
blocks,negative
bloke,ambiguous
blood,negative
bloodless,positive
bloodshed,negative
bloodthirsty,negative
bloody,negative
bloom,positive
blossom,positive
blot,negative
blotchy,negative
blow,negative
blower,negative
blown,negative
blowout,negative
blows,negative
blue,negative
blues,negative
bluff,negative
blunder,negative
blundering,negative
blunders,negative
blunt,negative
blur,negative
bluring,negative
blurred,negative
blurring,negative
blurry,negative
blurs,negative
blurt,negative
blush,negative
bnegative,negative
board,ambiguous
board,positive
boast,negative
boastful,negative
boasting,negative
bobo,negative
bodies,ambiguous
bodily,ambiguous
body,ambiguous
bodyguard,positive
bodys,ambiguous
bog,negative
boggle,negative
bogus,negative
boil,negative
boilerplate,negative
boiling,negative
boisterous,negative
bold,positive
boldly,positive
boldness,positive
bollocks,positive
bolster,positive
bolstered,positive
bolstering,positive
bolsters,positive
bolt,negative
bomb,negative
bombard,negative
bombardment,negative
bombastic,negative
bombed,negative
bomber,negative
bona,ambiguous
bonafide,ambiguous
bonanza,positive
bondage,negative
bonds,negative
bonkers,negative
bonne,positive
bonny,positive
bonus,positive
bonuses,positive
boo,negative
booby,negative
book,positive
booked,positive
booking,positive
bookings,positive
bookish,positive
books,positive
bookshop,positive
bookworm,ambiguous
boom,ambiguous
boomer,negative
boomerang,ambiguous
booming,positive
boon,positive
boost,positive
boosted,positive
booster,positive
boostered,positive
boosters,positive
boosting,positive
boosts,positive
boot,negative
booze,negative
border,negative
borders,negative
bore,negative
bored,negative
boredom,negative
bores,negative
boring,negative
born,positive
borrower,negative
boss,negative
bot,ambiguous
botch,negative
bother,negative
bothered,negative
bothering,negative
bothers,negative
bothersome,negative
bothred,negative
bots,ambiguous
bottleneck,negative
bottlenecks,negative
bottom,negative
bottomless,negative
bound,negative
bounded,negative
boundless,positive
bountiful,positive
bounty,positive
bouquet,positive
bout,negative
bovine,negative
bowdlerize,negative
bowels,negative
box,ambiguous
boxing,negative
boycott,negative
boycotted,negative
boycotting,negative
boycotts,negative
brag,negative
braggart,negative
bragger,negative
brain,positive
brainiest,positive
brainless,negative
brains,positive
brainwash,negative
brainwashed,negative
brainwashing,negative
brainy,positive
bran,negative
brand,negative
brandish,negative
brand-new,positive
brandy,negative
brash,negative
brashly,negative
brashness,negative
brat,negative
bravado,negative
brave,positive
bravery,positive
bravo,positive
brawl,negative
brazen,negative
brazenly,negative
brazenness,negative
breach,negative
breached,negative
breaches,negative
breaching,negative
breadwinner,positive
break,negative
breakage,negative
breakages,negative
breakdown,negative
breakdowns,negative
breaker,negative
breakfast,positive
breaking,negative
breakingnews,ambiguous
breakneck,negative
breaks,negative
breakthrough,negative
breakup,negative
break-up,negative
breakups,negative
break-ups,negative
breastfeeding,positive
breath,positive
breathe,positive
breathing,positive
breathlessness,positive
breathtaking,positive
breathtakingly,positive
breeze,positive
brexit,ambiguous
bribe,negative
bribed,negative
briberies,negative
bribery,negative
bribes,negative
bribing,negative
bridal,positive
bride,positive
bridegroom,positive
bridesmaid,positive
bridge,positive
brief,ambiguous
briefing,ambiguous
brigade,negative
bright,positive
brighten,positive
brighter,positive
brightest,positive
brightness,positive
brilliance,positive
brilliances,positive
brilliant,positive
brilliantly,positive
brimstone,negative
bring,positive
bringing,positive
brings,positive
brisk,positive
bristle,negative
brittle,negative
bro,positive
broad,negative
broader,negative
broadly,negative
broadside,negative
brocade,positive
broil,negative
broke,negative
